10.1034/j.1600-0412.2003.820107.x	0001-6349
10.1034/j.1600-065X.2002.18908.x/full	null
10.1034/j.1600-065X.2002.19007.x	0105-2896
10.1034/j.1600-065X.2003.00011.x	0105-2896
10.1034/j.1600-065X.2003.00015.x	0105-2896
10.1034/j.1600-065X.2003.00074.x	0105-2896
10.1034/j.1600-065x.2000.917309.x	0105-2896
10.1034/j.1600-065x.2000.917311.x	0105-2896
10.1034/j.1600-065x.2001.1800110.x	0105-2896
10.1034/j.1600-065x.2001.1800112.x	0105-2896
10.1034/j.1600-065x.2001.1830113.x	0105-2896
10.1034/j.1600-065x.2001.1840124.x	0105-2896
10.1034/j.1600-065x.2001.1840125.x	0105-2896
10.1034/j.1600-065x.2002.19008.x	0105-2896
10.1034/j.1600-065x.2003.00021.x	0105-2896
10.1034/j.1600-065x.2003.00058.x	0105-2896
10.1034/j.1600-0668.2000.010003138.x	0905-6947
10.1034/j.1600-0668.2000.010004212.x	0905-6947
10.1034/j.1600-0668.2000.010004222.x	0905-6947
10.1034/j.1600-0668.2001.110402.x	0905-6947
10.1034/j.1600-0668.2002.01109.x	0905-6947
10.1034/j.1600-0668.2002.01129.x	0905-6947
10.1034/j.1600-0668.2002.01129.x/abstract	null
10.1034/j.1600-0676.2001.021003207.x	1478-3223
10.1034/j.1600-0676.2002.00003.x	1478-3223
10.1034/j.1600-0676.2002.00007.x	1478-3223
10.1034/j.1600-0676.2002.00008.x	1478-3223
10.1034/j.1600-0676.2002.00009.x	1478-3223
10.1034/j.1600-0676.2002.01503.x	1478-3223
10.1034/j.1600-0676.2003.00824.x	1478-3223
10.1034/j.1600-0692.2001.300407.x	0371-0459
10.1034/j.1600-0706.2000.880110.x	0030-1299
10.1034/j.1600-0706.2000.880113.x	0030-1299
10.1034/j.1600-0706.2000.880114.x	0030-1299
10.1034/j.1600-0706.2000.880222.x	0030-1299
10.1034/j.1600-0706.2000.880222.x/abstract	null
10.1034/j.1600-0706.2000.880315.x	0030-1299
10.1034/j.1600-0706.2000.890203.x	0030-1299
10.1034/j.1600-0706.2000.900210.x	0030-1299
10.1034/j.1600-0706.2000.900220.x	0030-1299
10.1034/j.1600-0706.2000.910117.x	0030-1299
10.1034/j.1600-0706.2000.910202.x	0030-1299
10.1034/j.1600-0706.2000.910202.x/abstract	null
10.1034/j.1600-0706.2000.910213.x	0030-1299
10.1034/j.1600-0706.2000.910213.x/abstract	null
10.1034/j.1600-0706.2000.910222.x	0030-1299
10.1034/j.1600-0706.2001.11310.x	0030-1299
10.1034/j.1600-0706.2001.920108.x	0030-1299
10.1034/j.1600-0706.2001.930207.x	0030-1299
10.1034/j.1600-0706.2001.930318.x	0030-1299
10.1034/j.1600-0706.2001.940213.x	0030-1299
10.1034/j.1600-0706.2001.940308.x	0030-1299
10.1034/j.1600-0706.2001.940308.x/abstract	null
10.1034/j.1600-0706.2001.940317.x	0030-1299
10.1034/j.1600-0706.2002.11962.x	0030-1299
10.1034/j.1600-0706.2002.960306.x	0030-1299
10.1034/j.1600-0706.2002.970307.x	0030-1299
10.1034/j.1600-0706.2002.970316.x	0030-1299
10.1034/j.1600-0706.2002.980116.x/full	null
10.1034/j.1600-0706.2002.980306.x	0030-1299
10.1034/j.1600-0706.2002.980308.x	0030-1299
10.1034/j.1600-0706.2002.990101.x	0030-1299
10.1034/j.1600-0706.2002.990112.x	0030-1299
10.1034/j.1600-0706.2002.990113.x	0030-1299
10.1034/j.1600-0706.2002.990201.x	0030-1299
10.1034/j.1600-0706.2003.11935.x	0030-1299
10.1034/j.1600-0706.2003.12061.x	0030-1299
10.1034/j.1600-0706.2003.12073.x	0030-1299
10.1034/j.1600-0706.2003.12128.x	0030-1299
10.1034/j.1600-0706.2003.12331.x	0030-1299
10.1034/j.1600-0706.2003.12331.x/abstract	null
10.1034/j.1600-0706.2003.12407.x	0030-1299
10.1034/j.1600-0706.2003.12450.x	0030-1299
10.1034/j.1600-0706.2003.12515.x	0030-1299
10.1034/j.1600-0706.2003.12652.x	0030-1299
10.1034/j.1600-0714.2000.290206.x	0904-2512
10.1034/j.1600-0714.2001.300103.x	0904-2512
10.1034/j.1600-0714.2001.300503.x	0904-2512
10.1034/j.1600-0714.2003.00060.x	0904-2512
10.1034/j.1600-0714.2003.00144.x	0904-2512
10.1034/j.1600-0722.2000.00717.x	0909-8836
10.1034/j.1600-0722.2000.00765.x	0909-8836
10.1034/j.1600-0722.2000.108005353.x	0909-8836
10.1034/j.1600-0722.2001.00001.x	0909-8836
10.1034/j.1600-0722.2002.11186.x	0909-8836
10.1034/j.1600-0722.2003.00036.x	0909-8836
10.1034/j.1600-0722.2003.00069.x	0909-8836
10.1034/j.1600-0730.2000.d01-8.x	0105-7510
10.1034/j.1600-0730.2000.d01-8.x/pdf	null
10.1034/j.1600-0730.2001.d01-44.x	0105-7510
10.1034/j.1600-0749.13.s8.28.x	0893-5785
10.1034/j.1600-0749.2000.130109.x	0893-5785
10.1034/j.1600-0749.2000.130407.x	0893-5785
10.1034/j.1600-0749.2000.130502.x	0893-5785
10.1034/j.1600-0749.2000.130607.x	0893-5785
10.1034/j.1600-0749.2001.140203.x	0893-5785
10.1034/j.1600-0749.2001.140303.x	0893-5785
10.1034/j.1600-0749.2001.140403.x	0893-5785
10.1034/j.1600-0749.2001.140403.x/full	null
10.1034/j.1600-0749.2001.140410.x	0893-5785
10.1034/j.1600-0749.2001.140508.x	0893-5785
10.1034/j.1600-0749.2001.140603.x	0893-5785
10.1034/j.1600-0749.2001.140608.x	0893-5785
10.1034/j.1600-0749.2002.02007.x	0893-5785
10.1034/j.1600-0749.2002.1o071.x	0893-5785
10.1034/j.1600-0749.2002.1r082.x	0893-5785
10.1034/j.1600-0749.2003.00003.x	0893-5785
10.1034/j.1600-0749.2003.00013.x	0893-5785
10.1034/j.1600-0749.2003.00023.x	0893-5785
10.1034/j.1600-0749.2003.00037.x	0893-5785
10.1034/j.1600-0749.2003.00055.x	0893-5785
10.1034/j.1600-0749.2003.00067.x	0893-5785
10.1034/j.1600-0749.2003.00072.x	0893-5785
10.1034/j.1600-0749.2003.00075.x	0893-5785
10.1034/j.1600-0757.2001.027001148.x	0906-6713
10.1034/j.1600-0757.2001.027001162.x	0906-6713
10.1034/j.1600-0757.2002.280102.x	0906-6713
10.1034/j.1600-0757.2002.280111.x	0906-6713
10.1034/j.1600-0765.2002.00642.x	0022-3484
10.1034/j.1600-0765.2003.00680.x	0022-3484
10.1034/j.1600-0765.2003.01652.x	0022-3484
10.1034/j.1600-0773.2000.d01-25.x	0901-9928
10.1034/j.1600-0773.2000.pto860504.x	0901-9928
10.1034/j.1600-0773.2001.d01-128.x	0901-9928
10.1034/j.1600-0773.2002.900504.x	0901-9928
10.1034/j.1600-0773.2002.910505.x	0901-9928
10.1034/j.1600-0773.2003.920402.x	0901-9928
10.1034/j.1600-0773.2003.930207.x	0901-9928
10.1034/j.1600-0773.2003.930306.x	0901-9928
10.1034/j.1600-0781.2000.160401.x	0905-4383
10.1034/j.1600-0781.2001.017001039.x	0905-4383
10.1034/j.1600-0781.2001.170502.x	0905-4383
10.1034/j.1600-0781.2001.170605.x	0905-4383
10.1034/j.1600-0781.2002.02782.x	0905-4383
10.1034/j.1600-079X.2001.300305.x	0742-3098
10.1034/j.1600-079X.2001.300408.x	0742-3098
10.1034/j.1600-079X.2002.02936.x	0742-3098
10.1034/j.1600-079x.2002.00841.x	0742-3098
10.1034/j.1600-0838.2000.010003123.x	0905-7188
10.1034/j.1600-0838.2001.110402.x	0905-7188
10.1034/j.1600-0838.2001.110402.x/epdf	null
10.1034/j.1600-0838.2003.02225.x	0905-7188
10.1034/j.1600-0846.2000.006002087.x	0909-752X
10.1034/j.1600-0846.2001.007001010.x	0909-752X
10.1034/j.1600-0846.2001.70203.x	0909-752X
10.1034/j.1600-0846.2002.10295.x	0909-752X
10.1034/j.1600-0854.2000.010703.x	1398-9219
10.1034/j.1600-0854.2000.010904.x	1398-9219
10.1034/j.1600-0854.2000.011109.x	1398-9219
10.1034/j.1600-0854.2001.002005303.x	1398-9219
10.1034/j.1600-0854.2001.020103.x	1398-9219
10.1034/j.1600-0854.2001.020203.x	1398-9219
10.1034/j.1600-0854.2001.020206.x	1398-9219
10.1034/j.1600-0854.2001.1o007.x	1398-9219
10.1034/j.1600-0854.2001.1r008.x	1398-9219
10.1034/j.1600-0854.2001.21001.x	1398-9219
10.1034/j.1600-0854.2001.21104.x	1398-9219
10.1034/j.1600-0854.2001.21113.x	1398-9219
10.1034/j.1600-0854.2002.030406.x	1398-9219
10.1034/j.1600-0854.2002.30105.x	1398-9219
10.1034/j.1600-0854.2002.30503.x	1398-9219
10.1034/j.1600-0854.2002.30504.x	1398-9219
10.1034/j.1600-0854.2002.30602.x	1398-9219
10.1034/j.1600-0854.2002.30602.x/abstract	null
10.1034/j.1600-0854.2002.30606.x	1398-9219
10.1034/j.1600-0854.2002.30702.x	1398-9219
10.1034/j.1600-0854.2002.30705.x	1398-9219
10.1034/j.1600-0854.2002.30807.x	1398-9219
10.1034/j.1600-0854.2002.30905.x	1398-9219
10.1034/j.1600-0854.2002.30906.x	1398-9219
10.1034/j.1600-0854.2002.30908.x	1398-9219
10.1034/j.1600-0854.2002.31004.x	1398-9219
10.1034/j.1600-0854.2002.31101.x	1398-9219
10.1034/j.1600-0854.2002.31107.x	1398-9219
10.1034/j.1600-0854.2003.00086.x	1398-9219
10.1034/j.1600-0854.2003.00086_4_5.x	1398-9219
10.1034/j.1600-0854.2003.00103.x	1398-9219
10.1034/j.1600-0854.2003.00113.x	1398-9219
10.1034/j.1600-0854.2003.00118.x	1398-9219
10.1034/j.1600-0854.2003.40104.x	1398-9219
10.1034/j.1600-0854.2003.40205.x	1398-9219
10.1034/j.1600-0870.1994.t01-1-00001.x/pdf	null
10.1034/j.1600-0870.1995.00111.x	0280-6495
10.1034/j.1600-0870.1995.00116.x	0280-6495
10.1034/j.1600-0889.1990.00002.x	0280-6509
10.1034/j.1600-0889.1990.t01-1-00006.x	0280-6509
10.1034/j.1600-0889.1992.00018.x	0280-6509
10.1034/j.1600-0889.1992.00018.x/epdf	null
10.1034/j.1600-0889.1992.t01-2-00007.x	0280-6509
10.1034/j.1600-0889.1992.t01-2-00007.x/epdf	null
10.1034/j.1600-0889.1992.t01-3-00006.x	0280-6509
10.1034/j.1600-0889.1992.t01-3-00006.x/epdf	null
10.1034/j.1600-0889.1993.t01-2-00002.x	0280-6509
10.1034/j.1600-0889.1999.00002.x	0280-6509
10.1034/j.1600-0889.1999.00015.x	0280-6509
10.1034/j.1600-0889.1999.00015.x/abstract	null
10.1034/j.1600-0889.1999.t01-2-00010.x	0280-6509
10.1034/j.1600-0889.2000.00898.x	0280-6509
10.1034/j.1600-0889.2000.01104.x	0280-6509
10.1034/j.1600-0889.2000.d01-7.x	0280-6509
10.1034/j.1600-0889.2001.01191.x	0280-6509
10.1034/j.1600-0889.2003.00046.x	0280-6509
10.1034/j.1600-0889.2003.00046.x/full	null
10.1034/j.1600-0889.2003.01440.x	0280-6509
10.1034/j.1600-0889.2003.01450.x	0280-6509
10.1034/j.1600-0897.2002.01113.x	8755-8920
10.1034/j.1600-0897.2003.00047.x	8755-8920
10.1034/j.1600-6143.2001.10404.x	1600-6135
10.1034/j.1600-6143.2002.00026.x	1600-6135
10.1034/j.1600-6143.2002.20311.x	1600-6135
10.1034/j.1600-6143.2002.20515.x	1600-6135
10.1034/j.1600-6143.2003.00118.x	1600-6135
10.1034/j.1600-6143.2003.00194.x	1600-6135
10.1034/j.1601-0825.2002.00015.x	1354-523X
10.1034/j.1601-0825.2002.02870.x	1354-523X
10.1034/j.1601-0825.2002.1o781.x	1354-523X
10.1034/j.1601-0825.2003.00843.x	1354-523X
10.1034/j.1601-1546.2002.10103.x	1601-1538
10.1034/j.1601-1546.2003.00002.x	1601-1538
10.1034/j.1601-183X.2002.10201.x	1601-1848
10.1034/j.1601-183X.2002.10204.x	1601-1848
10.1034/j.1601-183X.2002.10204.x/full	null
10.1034/j.1601-183X.2002.10207.x	1601-1848
10.1034/j.1601-183X.2002.102081.x	1601-1848
10.1034/j.1601-183X.2002.10307.x	1601-1848
10.1034/j.1601-183X.2003.00010.x	1601-1848
10.1034/j.1601-183X.2003.00037.x	1601-1848
10.1034/j.1601-5037.2003.00032.x	1601-5029
10.1034/j.1601-5037.2003.00034.x	1601-5029
10.1034/j.1601-5037.2003.00034.x/abstract	null
10.1034/j.1601-5215.2003.00004.x	0924-2708
10.1036/0070608393	null
10.1036/0071357874	null
10.1036/0071374337	null
10.1036/0071395415	null
10.1036/0071408126	null
10.1036/0071412123	null
10.1036/0071413014	null
10.1036/007141794X	null
10.1036/0071418075	null
10.1036/0071422803	null
10.1036/0071454241	null
10.1036/0071455469	null
10.1036/0071469710	null
10.1036/0072190930	null
10.1036/0072420723	null
10.1036/0658003070	null
10.1036/1097-8542.109100	null
10.1036/1097-8542.118200	null
10.1036/1097-8542.184600	null
10.1036/1097-8542.207300	null
10.1036/1097-8542.210700	null
10.1036/1097-8542.289000	null
10.1036/1097-8542.352000	null
10.1036/1097-8542.398650	null
10.1036/1097-8542.471000	null
10.1036/1097-8542.498300	null
10.1036/1097-8542.523000	null
10.1036/1097-8542.669650	null
10.1036/1097-8542.681600	null
10.1036/1097-8542.687500	null
10.1036/1097-8542.757375	null
10.1036/1097-8542.803250	null
10.1036/1097-8542.900137	null
10.1036/1097-8542.BR0105151	null
10.1036/1097-8542.YB020415	null
10.1036/1097-8542.YB031005	null
10.1036/1097-8542.YB070850	null
10.1036/1097-8542.YB090068	null
10.1036/heartjnl-2011-301449	null
10.1036/ommbid.114	null
10.1036/ommbid.145	null
10.1036/ommbid.297	null
10.1037/	null
10.1037//0003	null
10.1037//0003-066X.56.1.73	0003-066X
10.1037//0003-066X.57.4.288	0003-066X
10.1037//0012-1649.36.2.209	0012-1649
10.1037//0012-1649.38.1.55	0012-1649
10.1037//0021-843X.100.2.191	0021-843X
10.1037//0021-843X.103.1.103	0021-843X
10.1037//0021-843X.109.3.419	0021-843X
10.1037//0021-843X.110.1.40	0021-843X
10.1037//0021-843X.93.2.222	0021-843X
10.1037//0021-843x.90.3.204	0021-843X
10.1037//0021-9010.86.3.499	0021-9010
10.1037//0021-9010.87.4.765	0021-9010
10.1037//0022	null
10.1037//0022-0663.93.2.243	0022-0663
10.1037//0022-3514	null
10.1037//0022-3514.62.5.787	0022-3514
10.1037//0022-3514.71.2.230	0022-3514
10.1037//0022-3514.81.1.146	0022-3514
10.1037//0022-3514.81.5.828	0022-3514
10.1037//0022-3514.81.5.856	0022-3514
10.1037//0022-3514.82.6.1007	0022-3514
10.1037//0022-3514.82.6.878	0022-3514
10.1037//0022-3514.83.5.1178	0022-3514
10.1037//0033-2909.126.5.770	0033-2909
10.1037//0033-2909.128.4.638	0033-2909
10.1037//0033-2909.128.5.774	0033-2909
10.1037//0096-1523.28.3.589	0096-1523
10.1037//0096-3445.122.2.166	0096-3445
10.1037//0096-3445.130.2.299	0096-3445
10.1037//0097-7403.27.2.115	0097-7403
10.1037//0278-7393.17.4.793	0278-7393
10.1037//0882-7974.1.2.117	0882-7974
10.1037//0882-7974.14.3.473	0882-7974
10.1037//0882-7974.7.3.484	0882-7974
10.1037//1040-3590.1.1.35	1040-3590
10.1037//1040-3590.9.4.452	1040-3590
10.1037//1076-8998.6.1.64	1076-8998
10.1037//1089-2680.6.2.139	1089-2680
10.1037//1528-3542.1.3.276	1528-3542
10.1037//O022-3514.78.5.871	null
10.1037//OO22-3514.79.6.962	null
10.1037/0002-9432.71.2.245	1939-0025
10.1037/0002-9432.73.2.167	1939-0025
10.1037/0002-9432.75.1.3	1939-0025
10.1037/0002-9432.75.2.324	1939-0025
10.1037/0002-9432.76.1.103	1939-0025
10.1037/0002-9432.76.1.55	1939-0025
10.1037/0002-9432.76.3.295	1939-0025
10.1037/0002-9432.76.4.482	1939-0025
10.1037/0002-9432.77.4.550	1939-0025
10.1037/0002-9432.77.4.550/citedby	null
10.1037/0003-0066X.56.9.754	null
10.1037/0003-066X.30.8.859	0003-066X
10.1037/0003-066X.31.2.135	0003-066X
10.1037/0003-066X.31.8.572	1935-990X
10.1037/0003-066X.32.3.197	1935-990X
10.1037/0003-066X.32.6.487	0003-066X
10.1037/0003-066X.32.9.752	1935-990X
10.1037/0003-066X.34.10.906	0003-066X
10.1037/0003-066X.34.11.1085	0003-066X
10.1037/0003-066X.34.7.571	1935-990X
10.1037/0003-066X.35.1.1	1935-990X
10.1037/0003-066X.35.2.151	0003-066X
10.1037/0003-066X.35.7.603	1935-990X
10.1037/0003-066X.35.7.639	0003-066X
10.1037/0003-066X.35.8.691	1935-990X
10.1037/0003-066X.36.2.129	1935-990X
10.1037/0003-066X.36.3.276	0003-066X
10.1037/0003-066X.36.4.343	0003-066X
10.1037/0003-066X.36.4.357	1935-990X
10.1037/0003-066X.36.8.879	1935-990X
10.1037/0003-066X.37.2.122	0003-066X
10.1037/0003-066X.37.2.212	1935-990X
10.1037/0003-066X.37.4.385	1935-990X
10.1037/0003-066X.37.4.411	1935-990X
10.1037/0003-066X.37.7.802	1935-990X
10.1037/0003-066X.37.8.904	1935-990X
