10.4137/BECB.S34255	1179-5972
10.4155/bio.09.4	1757-6180
10.4155/bio.09.40	1757-6180
10.4155/bio.09.7	1757-6180
10.4155/bio.09.96	1757-6180
10.4155/bio.10.32	1757-6180
10.4155/bio.10.42	1757-6180
10.4155/bio.11.18	1757-6180
10.4155/bio.11.232	1757-6180
10.4155/bio.11.291	1757-6180
10.4155/bio.11.308	1757-6180
10.4155/bio.11.95	1757-6180
10.4155/bio.12.202	1757-6180
10.4155/bio.12.27	1757-6180
10.4155/bio.14.280	1757-6180
10.4155/bio.14.9	1757-6180
10.4155/bio.15.237	1757-6180
10.4155/cli.11.178	2041-6792
10.4155/cli.13.7	2041-6792
10.4155/cmt.11.29	1758-3004
10.4155/ebo.13.417	null
10.4155/fmc-2016-0078	1756-8919
10.4155/fmc-2016-0207	1756-8919
10.4155/fmc-2017-0047	1756-8919
10.4155/fmc-2017-0228	1756-8919
10.4155/fmc-2017-0273	1756-8919
10.4155/fmc.09.123	1756-8919
10.4155/fmc.09.32	1756-8919
10.4155/fmc.09.44)	null
10.4155/fmc.09.65	1756-8919
10.4155/fmc.09.89	1756-8919
10.4155/fmc.10.21	1756-8919
10.4155/fmc.10.226	1756-8919
10.4155/fmc.10.279	1756-8919
10.4155/fmc.10.280	1756-8919
10.4155/fmc.10.281	1756-8919
10.4155/fmc.10.287	1756-8919
10.4155/fmc.10.3	1756-8919
10.4155/fmc.11.117	1756-8919
10.4155/fmc.11.136	1756-8919
10.4155/fmc.11.150	1756-8919
10.4155/fmc.11.166	1756-8919
10.4155/fmc.11.17	1756-8919
10.4155/fmc.11.181	1756-8919
10.4155/fmc.11.194	1756-8919
10.4155/fmc.11.195	1756-8919
10.4155/fmc.12.122	1756-8919
10.4155/fmc.12.26	1756-8919
10.4155/fmc.12.29	1756-8919
10.4155/fmc.12.41	1756-8919
10.4155/fmc.12.69	1756-8919
10.4155/fmc.13.215	1756-8919
10.4155/fmc.13.216	1756-8919
10.4155/fmc.13.31	1756-8919
10.4155/fmc.13.84	1756-8919
10.4155/fmc.14.145	1756-8919
10.4155/fmc.14.146	1756-8919
10.4155/fmc.14.151	1756-8919
10.4155/fmc.14.152	1756-8919
10.4155/fmc.14.60	1756-8919
10.4155/fmc.14.98	1756-8919
10.4155/fmc.15.121	1756-8919
10.4155/fmc.15.74	1756-8919
10.4155/fsoa-2017-0100	2056-5623
10.4155/ppa.13.31	2046-8954
10.4155/ppa.14.19	2046-8954
10.4155/ppa.14.46	2046-8954
10.4155/ppa.15.1	2046-8954
10.4155/ppa.15.20	2046-8954
10.4155/tde.10.100	2041-5990
10.4155/tde.12.127	2041-5990
10.4155/tde.12.80	2041-5990
10.4155/tde.13.151	2041-5990
10.4155/tde.14.103	2041-5990
10.4155/tde.15.32	2041-5990
10.4155/tde.15.44	2041-5990
10.4155/tde.15.85	2041-5990
10.4156/aiss.vol2.issue1.6	1976-3700
10.4156/jnit.vol4.issue3.7	2092-8637
10.4157/grj.54.570	2185-1719
10.4158/EP.11.4.272	1530-891X
10.4158/EP.14.9.1095	1530-891X
10.4158/EP.3.2.77	1530-891X
10.4158/EP.7.2.79	1530-891X
10.4158/EP.7.4.279	1530-891X
10.4158/EP.7.5.358	1530-891X
10.4158/EP.9.5.370	1530-891X
10.4158/EP09101.ORR	1530-891X
10.4158/EP09170.RAR	1530-891X
10.4158/EP10359.RA	1530-891X
10.4158/EP10379.RA	1530-891X
10.4158/EP11138.CR	1530-891X
10.4158/EP12131.CR	1530-891X
10.4158/EP12241.CR	1530-891X
10.4158/EP12280.GL	1530-891X
10.4158/EP12325.OR	1530-891X
10.4158/EP13020.RA	1530-891X
10.4158/EP13155.GL	1530-891X
10.4158/EP14330.OR	1530-891X
10.4158/EP14351.RA	1530-891X
10.4158/EP14373.RA	1530-891X
10.4158/EP14421.RA	1530-891X
10.4158/EP15814.OR	1530-891X
10.4158/EP161315.CO	1530-891X
10.4158/endp.19.1.v767575m65p5mr06	1530-891X
10.4158/ep.10.5.404	1530-891X
10.4158/ep.10.6.497	1530-891X
10.4158/ep.12.2.137	1530-891X
10.4158/ep.12.4.358	1530-891X
10.4158/ep.12.6.676	1530-891X
10.4158/ep.13.1.63	1530-891X
10.4158/ep.13.5.493	1530-891X
10.4158/ep.13.6.615	1530-891X
10.4158/ep.14.6.782	1530-891X
10.4158/ep.14.9.1137	1530-891X
10.4158/ep.16.s3.1	1530-891X
10.4158/ep09011.or	1530-891X
10.4158/ep12280.gl	1530-891X
10.4159/9780674089167-029	null
10.4159/DLCL.appian-roman_history_civil_wars.1913	null
10.4159/DLCL.aristotle-history_animals.1965	null
10.4159/DLCL.augustine-city_god_pagans.1957	null
10.4159/DLCL.caesar-civil_wars.1914	null
10.4159/DLCL.callimachus-fragments_uncertain_location.1973	null
10.4159/DLCL.dio_cassius-roman_history.1914	null
10.4159/DLCL.diogenes_laertius-lives_eminent_philosophers_book_ii_chapte	null
10.4159/DLCL.dionysius_halicarnassus-roman_antiquities.1937	null
10.4159/DLCL.hermas-shepherd.2003	null
10.4159/DLCL.hippocrates_cos-airs_waters_places.1923	null
10.4159/DLCL.hippocrates_cos-oath.1923	null
10.4159/DLCL.josephus-jewish_antiquities.1930	null
10.4159/DLCL.josephus-jewish_war.1927	null
10.4159/DLCL.josephus-life.1926	null
10.4159/DLCL.livy-history_rome_1.1919	null
10.4159/DLCL.livy-history_rome_summaries.1959	null
10.4159/DLCL.marcus_tullius_cicero-de_officiis.1913	null
10.4159/DLCL.marcus_tullius_cicero-de_re_publica.1928	null
10.4159/DLCL.marcus_tullius_cicero-in_catilinam_i_iv.1976	null
10.4159/DLCL.marcus_tullius_cicero-philippic_8.2010	null
10.4159/DLCL.marcus_tullius_cicero-pro_milone.1931	null
10.4159/DLCL.marcus_tullius_cicero-pro_rabirio_perduellionis.1927	null
10.4159/DLCL.ovid-fasti.1931	null
10.4159/DLCL.pausanias-description_greece.1918	null
10.4159/DLCL.plutarch-lives_antony.1920	null
10.4159/DLCL.plutarch-lives_caesar.1919	null
10.4159/DLCL.plutarch-lives_cicero.1919	null
10.4159/DLCL.plutarch-lives_pompey.1917	null
10.4159/DLCL.plutarch-lives_romulus.1914	null
10.4159/DLCL.plutarch-lives_tiberius_gaius_gracchus.1921	null
10.4159/DLCL.sallust-war_catiline.2013	null
10.4159/DLCL.seneca_younger-de_beneficiis.1935	null
10.4159/DLCL.strabo-geography.1917	null
10.4159/DLCL.suetonius-lives_caesars_book_i_deified_julius.1914	null
10.4159/DLCL.theophrastus-enquiry_plants.1916	null
10.4159/DLCL.valerius_maximus-memorable_doings_sayings.2000	null
10.4159/harvard.9780674067424	null
10.4159/harvard.9780674366701.c141	null
10.4159/harvard.9780674726215	null
10.4161/15384101.2014.980641	1538-4101
10.4161/19336918.2014.994919	1933-6918
10.4161/19336950.2014.950537	1933-6950
10.4161/19336950.2014.954224	1933-6950
10.4161/19336950.2014.985478	1933-6950
10.4161/19420862.2015.988944	1942-0862
10.4161/19420889.2014.970502	1942-0889
10.4161/19420889.2014.992746	1942-0889
10.4161/19490992.2014.987581	1949-0992
10.4161/21505594.2014.981486	2150-5594
10.4161/21505594.2014.989795	2150-5594
10.4161/21541248.2014.973757	2154-1248
10.4161/21541264.2014.967599	2154-1264
10.4161/21565562.2014.979061	2156-5562
10.4161/21597081.2014.975540	2159-7081
10.4161/2162402X.2014.974411	2162-402X
10.4161/2162402X.2014.989762	2162-402X
10.4161/21645515.2014.973317	2164-5515
10.4161/21645515.2014.973323	2164-5515
10.4161/23288604.2014.995005	2328-8604
10.4161/23328940.2014.982049	2332-8940
10.4161/23328940.2014.988524	2332-8940
10.4161/23723556.2014.989133	2372-3556
10.4161/adip.21496	2162-3945
10.4161/adip.26082	2162-3945
10.4161/adip.26896	2162-3945
10.4161/auto.1.2.1859	1554-8627
10.4161/auto.1.3.2017	1554-8627
10.4161/auto.19227	1554-8627
10.4161/auto.19469	1554-8627
10.4161/auto.19653	1554-8627
10.4161/auto.21459	1554-8627
10.4161/auto.21857	1554-8627
10.4161/auto.22161	1554-8627
10.4161/auto.22742	1554-8627
10.4161/auto.23117	1554-8627
10.4161/auto.2387	1554-8627
10.4161/auto.24069	1554-8627
10.4161/auto.24371	1554-8627
10.4161/auto.24544	1554-8627
10.4161/auto.26563	1554-8627
10.4161/auto.26787	1554-8627
10.4161/auto.26838	1554-8627
10.4161/auto.26916	1554-8627
10.4161/auto.2695	1554-8627
10.4161/auto.27163	1554-8627
10.4161/auto.2730	1554-8627
10.4161/auto.27345	1554-8627
10.4161/auto.28175	1554-8627
10.4161/auto.28259	1554-8627
10.4161/auto.2857	1554-8627
10.4161/auto.29640	1554-8627
10.4161/auto.3269	1554-8627
10.4161/auto.3437	1554-8627
10.4161/auto.4239	1554-8627
10.4161/auto.4713	1554-8627
10.4161/auto.5.1.7174	1554-8627
10.4161/auto.5.2.7445	1554-8627
10.4161/auto.5.5.8249	1554-8627
10.4161/auto.5.5.8505	1554-8627
10.4161/auto.5.7.9296	1554-8627
10.4161/auto.5050	1554-8627
10.4161/auto.5190	1554-8627
10.4161/auto.5407	1554-8627
10.4161/auto.5604	1554-8627
10.4161/auto.5973	1554-8627
10.4161/auto.6.4.11863	1554-8627
10.4161/auto.6.7.13335	1554-8627
10.4161/auto.6398	1554-8627
10.4161/auto.6496	1554-8627
10.4161/auto.6555	1554-8627
10.4161/auto.6566	1554-8627
10.4161/auto.7.10.15904	1554-8627
10.4161/auto.7.12.17877	1554-8627
10.4161/auto.7.12.18315	1554-8627
10.4161/auto.7.3.14348	1554-8627
10.4161/auto.7.3.14487	1554-8627
10.4161/auto.7.7.14733	1554-8627
10.4161/auto.7.8.15821	1554-8627
10.4161/auto.7066	1554-8627
10.4161/auto.7142	1554-8627
10.4161/auto.8709	1554-8627
10.4161/bact.1.2.15845	2159-7081
10.4161/bact.1.3.16591	2159-7081
10.4161/bact.23146	2159-7081
10.4161/bact.23857	2159-7081
10.4161/bact.24767	2159-7081
10.4161/bact.25589	2159-7081
10.4161/bact.25697	2159-7081
10.4161/bact.27336	2159-7081
10.4161/bact.28365	2159-7081
10.4161/bact.29009	2159-7081
10.4161/bbug.1.6.13257	1949-1018
10.4161/bbug.2.3.15285	1949-1018
10.4161/bioa.1.1.14429	1949-0992
10.4161/bioa.1.2.15807	1949-0992
10.4161/bioa.21758	1949-0992
10.4161/bioa.26133	1949-0992
10.4161/bioa.26134	1949-0992
10.4161/bioa.26259	1949-0992
10.4161/bioa.29766	1949-0992
10.4161/bioe.22462	2165-5979
10.4161/bioe.22856	2165-5979
10.4161/bioe.23640	2165-5979
10.4161/biom.20710	2159-2535
10.4161/cam.1.2.4488	1933-6918
10.4161/cam.1.4.5448	1933-6918
10.4161/cam.22139	1933-6918
10.4161/cam.29387	1933-6918
10.4161/cam.3.2.7403	1933-6918
10.4161/cam.3.2.8397	1933-6918
10.4161/cam.3.4.9246	1933-6918
10.4161/cam.36224	1933-6918
10.4161/cam.4.1.10882	1933-6918
10.4161/cam.4.1.10973	1933-6918
10.4161/cam.4.3.11606	1933-6918
10.4161/cam.4.4.13489	1933-6918
10.4161/cam.5.4.16915	1933-6918
10.4161/cbt.1.1.37	1538-4047
10.4161/cbt.1.4.23	1538-4047
10.4161/cbt.1.5.158	1538-4047
10.4161/cbt.1.5.159	1538-4047
10.4161/cbt.1.5.162	1538-4047
10.4161/cbt.1.5.167	1538-4047
10.4161/cbt.1.5.222	1538-4047
10.4161/cbt.1.5.225	1538-4047
10.4161/cbt.10.10.13236	1538-4047
10.4161/cbt.10.10.14010	1538-4047
10.4161/cbt.10.12.13432	1538-4047
10.4161/cbt.10.3.12548	1538-4047
10.4161/cbt.10.7.13151	1538-4047
10.4161/cbt.10.8.13083	1538-4047
10.4161/cbt.10.9.13234	1538-4047
10.4161/cbt.12.3.16260	1538-4047
10.4161/cbt.12.7.16475	1538-4047
10.4161/cbt.12.7.18059	1538-4047
10.4161/cbt.19589	1538-4047
10.4161/cbt.199	1538-4047
10.4161/cbt.2.2.282	1538-4047
10.4161/cbt.2.2.351	1538-4047
10.4161/cbt.2.3.360	1538-4047
10.4161/cbt.2.4.451	1538-4047
10.4161/cbt.2.4.479	1538-4047
10.4161/cbt.2.5.511	1538-4047
10.4161/cbt.2.6.678	1538-4047
10.4161/cbt.213	1538-4047
10.4161/cbt.22020	1538-4047
10.4161/cbt.22275	1538-4047
10.4161/cbt.23759	1538-4047
10.4161/cbt.26724	1538-4047
10.4161/cbt.27350	1538-4047
10.4161/cbt.28164	1538-4047
10.4161/cbt.28843	1538-4047
10.4161/cbt.29220	1538-4047
10.4161/cbt.3.1.561	1538-4047
10.4161/cbt.3.1.686	1538-4047
10.4161/cbt.3.3.698	1538-4047
10.4161/cbt.3.4.724	1538-4047
